tile_id,bsai_parts,bsmbi_parts
22,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile22_sub4,bsmbi_3wt_tile22_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
23,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile23_sub4,bsmbi_3wt_tile23_sub1;bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
24,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile24_sub4,bsmbi_3wt_tile24_sub1;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
25,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile25_sub4,bsmbi_3wt_tile1_sub5;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
26,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile26_sub4,bsmbi_3wt_tile26_sub1;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
27,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile27_sub4,bsmbi_3wt_tile27_sub1;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
28,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile28_sub5,bsmbi_3wt_tile28_sub1;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
29,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile29_sub5,bsmbi_3wt_tile29_sub1;bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
30,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile30_sub5,bsmbi_3wt_tile30_sub1;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
31,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile31_sub5,bsmbi_3wt_tile1_sub6;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
32,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile32_sub5,bsmbi_3wt_tile32_sub1;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
33,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile33_sub5,bsmbi_3wt_tile33_sub1;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
34,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile34_sub6,bsmbi_3wt_tile34_sub1;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
35,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile35_sub6,bsmbi_3wt_tile35_sub1;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
36,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile36_sub6,bsmbi_3wt_tile36_sub1;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
37,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile37_sub6,bsmbi_3wt_tile37_sub1;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
38,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile38_sub6,bsmbi_3wt_tile38_sub1;bsmbi_3wt_tile1_sub7;bsmbi_cassette_tile1_sub8
39,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile39_sub6,bsmbi_3wt_tile39_sub1;bsmbi_3wt_tile39_sub2
40,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile40_sub6,bsmbi_3wt_tile40_sub1;bsmbi_3wt_tile39_sub2
41,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile41_sub6,bsmbi_3wt_tile41_sub1;bsmbi_3wt_tile41_sub2
42,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile42_sub6;bsai_5wt_tile42_sub7,bsmbi_3wt_tile42_sub1;bsmbi_3wt_tile41_sub2
43,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile42_sub6;bsai_5wt_tile43_sub7,bsmbi_3wt_tile43_sub1;bsmbi_3wt_tile41_sub2
44,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile42_sub6;bsai_5wt_tile44_sub7,bsmbi_3wt_tile44
45,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile42_sub6;bsai_5wt_tile45_sub7,bsmbi_3wt_tile45
46,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile42_sub6;bsai_5wt_tile46_sub7,bsmbi_3wt_tile46
47,bsai_5wt_tile11_sub1;bsai_5wt_tile16_sub2;bsai_5wt_tile22_sub3;bsai_5wt_tile28_sub4;bsai_5wt_tile34_sub5;bsai_5wt_tile42_sub6;bsai_5wt_tile47_sub7,bsmbi_polIII_tile47
